Frage,Antwort,Kategorie
Wie oft besuchen Sie Wochenmärkte?,Selten,Produktvorlieben
Wie oft besuchen Sie Wochenmärkte?,Selten,Marktpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Konsumverhalten
Kaufen Sie oft regionale Produkte?,Nein,Produktvorlieben
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Konsumverhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Konsumverhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Sehr wichtig,Online-Verhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Ja,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Nein,Nachhaltigkeit
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Marktpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Sehr wichtig,Online-Verhalten
Kaufen Sie oft regionale Produkte?,Gelegentlich,Marktpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Nachhaltigkeit
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Konsumverhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Nachhaltigkeit
Kaufen Sie oft regionale Produkte?,Gelegentlich,Standortpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Standortpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Produktvorlieben
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Standortpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Standortpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Ja,Online-Verhalten
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Produktvorlieben
Wie oft besuchen Sie Wochenmärkte?,Selten,Nachhaltigkeit
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Produktvorlieben
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Nachhaltigkeit
Wie oft besuchen Sie Wochenmärkte?,Nie,Standortpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Produktvorlieben
Wie oft kaufen Sie Bioprodukte?,Wöchentlich,Konsumverhalten
Kaufen Sie oft regionale Produkte?,Ja,Konsumverhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Konsumverhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Sehr wichtig,Nachhaltigkeit
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Nachhaltigkeit
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Konsumverhalten
Wie oft kaufen Sie Bioprodukte?,Täglich,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Online-Verhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Konsumverhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Marktpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Konsumverhalten
Wie oft kaufen Sie Bioprodukte?,Wöchentlich,Marktpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Online-Verhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Ja,Nachhaltigkeit
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Ja,Online-Verhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Produktvorlieben
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Nachhaltigkeit
Kaufen Sie oft regionale Produkte?,Nein,Standortpräferenzen
Wie oft kaufen Sie Bioprodukte?,Wöchentlich,Nachhaltigkeit
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Konsumverhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Konsumverhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Konsumverhalten
Wie oft kaufen Sie Bioprodukte?,Selten,Nachhaltigkeit
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Konsumverhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Nachhaltigkeit
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Marktpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Standortpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Online-Verhalten
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Marktpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Produktvorlieben
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Nachhaltigkeit
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Konsumverhalten
Wie oft kaufen Sie Bioprodukte?,Wöchentlich,Nachhaltigkeit
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Produktvorlieben
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Online-Verhalten
Wie oft kaufen Sie Bioprodukte?,Täglich,Konsumverhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Standortpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Selten,Marktpräferenzen
Kaufen Sie oft regionale Produkte?,Gelegentlich,Standortpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Nein,Nachhaltigkeit
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Online-Verhalten
Kaufen Sie oft regionale Produkte?,Ja,Nachhaltigkeit
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Nachhaltigkeit
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Marktpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Konsumverhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Standortpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Standortpräferenzen
Wie oft nutzen Sie Online-Marktplätze?,Selten,Produktvorlieben
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Online-Verhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Nachhaltigkeit
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Produktvorlieben
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Marktpräferenzen
Wie oft kaufen Sie Bioprodukte?,Nie,Marktpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Nachhaltigkeit
Wie oft kaufen Sie Bioprodukte?,Täglich,Online-Verhalten
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Produktvorlieben
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Marktpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Produktvorlieben
Wie oft besuchen Sie Wochenmärkte?,Nie,Marktpräferenzen
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Nachhaltigkeit
Kaufen Sie oft regionale Produkte?,Ja,Produktvorlieben
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Produktvorlieben
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Produktvorlieben
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Standortpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Konsumverhalten
Wie oft kaufen Sie Bioprodukte?,Nie,Konsumverhalten
Wie oft kaufen Sie Bioprodukte?,Täglich,Online-Verhalten
Wie oft besuchen Sie Wochenmärkte?,Nie,Konsumverhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Marktpräferenzen
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Produktvorlieben
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Produktvorlieben
Kaufen Sie oft regionale Produkte?,Ja,Nachhaltigkeit
Kaufen Sie oft regionale Produkte?,Ja,Online-Verhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Ja,Marktpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Produktvorlieben
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Standortpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Konsumverhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Produktvorlieben
Kaufen Sie oft regionale Produkte?,Nein,Standortpräferenzen
Wie oft kaufen Sie Bioprodukte?,Selten,Online-Verhalten
Wie oft nutzen Sie Online-Marktplätze?,Nie,Produktvorlieben
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Konsumverhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Online-Verhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Online-Verhalten
Wie oft nutzen Sie Online-Marktplätze?,Nie,Produktvorlieben
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Standortpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Konsumverhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Marktpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Sehr wichtig,Standortpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Marktpräferenzen
Wie oft kaufen Sie Bioprodukte?,Täglich,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Gelegentlich,Marktpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Online-Verhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Produktvorlieben
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Nachhaltigkeit
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Online-Verhalten
Kaufen Sie oft regionale Produkte?,Gelegentlich,Konsumverhalten
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Marktpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Online-Verhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Ja,Online-Verhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Online-Verhalten
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Produktvorlieben
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Marktpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Standortpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Produktvorlieben
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Nachhaltigkeit
Wie oft kaufen Sie Bioprodukte?,Selten,Online-Verhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Ja,Standortpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Online-Verhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Standortpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Online-Verhalten
Wie oft besuchen Sie Wochenmärkte?,Selten,Online-Verhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Marktpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Nachhaltigkeit
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Online-Verhalten
Wie oft besuchen Sie Wochenmärkte?,Selten,Standortpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Nachhaltigkeit
Wie wichtig ist Ihnen eine breite Produktpalette?,Sehr wichtig,Nachhaltigkeit
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Marktpräferenzen
Kaufen Sie oft regionale Produkte?,Nein,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Marktpräferenzen
Wie oft nutzen Sie Online-Marktplätze?,Selten,Marktpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Online-Verhalten
Wie oft kaufen Sie Bioprodukte?,Nie,Produktvorlieben
Wie oft kaufen Sie Bioprodukte?,Wöchentlich,Produktvorlieben
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Ja,Konsumverhalten
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Konsumverhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Online-Verhalten
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Standortpräferenzen
Wie oft kaufen Sie Bioprodukte?,Täglich,Online-Verhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Ja,Standortpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Ja,Online-Verhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Nachhaltigkeit
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Nachhaltigkeit
Wie oft nutzen Sie Online-Marktplätze?,Selten,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Standortpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Ja,Produktvorlieben
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Konsumverhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Online-Verhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Sehr wichtig,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Gelegentlich,Nachhaltigkeit
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Konsumverhalten
Kaufen Sie oft regionale Produkte?,Gelegentlich,Produktvorlieben
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Produktvorlieben
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Nachhaltigkeit
Kaufen Sie oft regionale Produkte?,Gelegentlich,Konsumverhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Sehr wichtig,Nachhaltigkeit
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Standortpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Standortpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Ja,Konsumverhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Ja,Nachhaltigkeit
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Marktpräferenzen
Wie oft kaufen Sie Bioprodukte?,Selten,Produktvorlieben
Wie oft kaufen Sie Bioprodukte?,Wöchentlich,Nachhaltigkeit
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Nachhaltigkeit
Wie oft nutzen Sie Online-Marktplätze?,Nie,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Produktvorlieben
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Marktpräferenzen
Kaufen Sie oft regionale Produkte?,Ja,Standortpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Standortpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Standortpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Produktvorlieben
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Ja,Marktpräferenzen
Kaufen Sie oft regionale Produkte?,Nein,Produktvorlieben
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Ja,Online-Verhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Konsumverhalten
Wie oft kaufen Sie Bioprodukte?,Täglich,Nachhaltigkeit
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Nein,Marktpräferenzen
Kaufen Sie oft regionale Produkte?,Ja,Konsumverhalten
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Standortpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Online-Verhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Nachhaltigkeit
Kaufen Sie oft regionale Produkte?,Gelegentlich,Marktpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Produktvorlieben
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Produktvorlieben
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Konsumverhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Ja,Online-Verhalten
Wie oft nutzen Sie Online-Marktplätze?,Nie,Standortpräferenzen
Wie oft kaufen Sie Bioprodukte?,Täglich,Marktpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Online-Verhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Online-Verhalten
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Konsumverhalten
Wie oft nutzen Sie Online-Marktplätze?,Selten,Standortpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Marktpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Produktvorlieben
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Konsumverhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Sehr wichtig,Online-Verhalten
Wie oft kaufen Sie Bioprodukte?,Täglich,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Gelegentlich,Standortpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Produktvorlieben
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Konsumverhalten
Kaufen Sie oft regionale Produkte?,Nein,Marktpräferenzen
Kaufen Sie oft regionale Produkte?,Nein,Online-Verhalten
Wie oft nutzen Sie Online-Marktplätze?,Selten,Online-Verhalten
Wie oft besuchen Sie Wochenmärkte?,Nie,Standortpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Konsumverhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Marktpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Online-Verhalten
Wie oft kaufen Sie Bioprodukte?,Selten,Konsumverhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Standortpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Konsumverhalten
Wie oft besuchen Sie Wochenmärkte?,Selten,Produktvorlieben
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Online-Verhalten
Kaufen Sie oft regionale Produkte?,Ja,Marktpräferenzen
Wie oft kaufen Sie Bioprodukte?,Täglich,Konsumverhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Nachhaltigkeit
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Produktvorlieben
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Produktvorlieben
Wie oft besuchen Sie Wochenmärkte?,Nie,Konsumverhalten
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Nachhaltigkeit
Kaufen Sie oft regionale Produkte?,Gelegentlich,Konsumverhalten
