Frage,Antwort,Kategorie
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Online-Verhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Marktpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Online-Verhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Produktvorlieben
Wie oft kaufen Sie Bioprodukte?,Täglich,Nachhaltigkeit
Wie oft besuchen Sie Wochenmärkte?,Selten,Nachhaltigkeit
Wie oft kaufen Sie Bioprodukte?,Selten,Konsumverhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Online-Verhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Online-Verhalten
Kaufen Sie oft regionale Produkte?,Ja,Konsumverhalten
Kaufen Sie oft regionale Produkte?,Nein,Online-Verhalten
Wie oft besuchen Sie Wochenmärkte?,Selten,Online-Verhalten
Wie oft kaufen Sie Bioprodukte?,Nie,Nachhaltigkeit
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Marktpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Marktpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Konsumverhalten
Kaufen Sie oft regionale Produkte?,Nein,Online-Verhalten
Kaufen Sie oft regionale Produkte?,Gelegentlich,Standortpräferenzen
Wie oft kaufen Sie Bioprodukte?,Wöchentlich,Online-Verhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Produktvorlieben
Wie oft kaufen Sie Bioprodukte?,Nie,Produktvorlieben
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Standortpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Produktvorlieben
Wie oft kaufen Sie Bioprodukte?,Nie,Konsumverhalten
Kaufen Sie oft regionale Produkte?,Ja,Nachhaltigkeit
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Nachhaltigkeit
Kaufen Sie oft regionale Produkte?,Nein,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Standortpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Marktpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Online-Verhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Marktpräferenzen
Kaufen Sie oft regionale Produkte?,Ja,Standortpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Standortpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Produktvorlieben
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Produktvorlieben
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Standortpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Standortpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Online-Verhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Online-Verhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Standortpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Konsumverhalten
Kaufen Sie oft regionale Produkte?,Gelegentlich,Konsumverhalten
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Produktvorlieben
Wie oft kaufen Sie Bioprodukte?,Nie,Marktpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Online-Verhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Standortpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Konsumverhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Marktpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Selten,Standortpräferenzen
Wie oft nutzen Sie Online-Marktplätze?,Nie,Standortpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Online-Verhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Standortpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Nachhaltigkeit
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Nachhaltigkeit
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Standortpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Standortpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Nachhaltigkeit
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Marktpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Produktvorlieben
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Online-Verhalten
Wie oft kaufen Sie Bioprodukte?,Wöchentlich,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Produktvorlieben
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Nachhaltigkeit
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Nachhaltigkeit
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Standortpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Produktvorlieben
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Standortpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Konsumverhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Standortpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Produktvorlieben
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Standortpräferenzen
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Marktpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Online-Verhalten
Wie oft kaufen Sie Bioprodukte?,Selten,Konsumverhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Marktpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Konsumverhalten
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Marktpräferenzen
Kaufen Sie oft regionale Produkte?,Ja,Produktvorlieben
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Konsumverhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Online-Verhalten
Wie oft besuchen Sie Wochenmärkte?,Nie,Online-Verhalten
Wie oft kaufen Sie Bioprodukte?,Nie,Standortpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Produktvorlieben
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Konsumverhalten
Wie oft nutzen Sie Online-Marktplätze?,Nie,Marktpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Produktvorlieben
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Online-Verhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Online-Verhalten
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Marktpräferenzen
Kaufen Sie oft regionale Produkte?,Ja,Standortpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Marktpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Konsumverhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Standortpräferenzen
Wie oft kaufen Sie Bioprodukte?,Wöchentlich,Konsumverhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Marktpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Ja,Produktvorlieben
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Online-Verhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Produktvorlieben
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Produktvorlieben
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Konsumverhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Online-Verhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Produktvorlieben
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Standortpräferenzen
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Konsumverhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Konsumverhalten
Kaufen Sie oft regionale Produkte?,Nein,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Ja,Nachhaltigkeit
Wie oft besuchen Sie Wochenmärkte?,Selten,Konsumverhalten
Wie oft kaufen Sie Bioprodukte?,Selten,Nachhaltigkeit
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Produktvorlieben
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Konsumverhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Online-Verhalten
Wie oft kaufen Sie Bioprodukte?,Selten,Nachhaltigkeit
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Produktvorlieben
Kaufen Sie oft regionale Produkte?,Nein,Online-Verhalten
Kaufen Sie oft regionale Produkte?,Nein,Produktvorlieben
Wie oft kaufen Sie Bioprodukte?,Selten,Nachhaltigkeit
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Nachhaltigkeit
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Standortpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Produktvorlieben
Wie oft kaufen Sie Bioprodukte?,Selten,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Ja,Marktpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Marktpräferenzen
Kaufen Sie oft regionale Produkte?,Gelegentlich,Nachhaltigkeit
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Online-Verhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Ja,Online-Verhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Konsumverhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Produktvorlieben
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Marktpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Marktpräferenzen
Kaufen Sie oft regionale Produkte?,Gelegentlich,Konsumverhalten
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Standortpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Produktvorlieben
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Produktvorlieben
Wie oft kaufen Sie Bioprodukte?,Nie,Produktvorlieben
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Ja,Produktvorlieben
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Nachhaltigkeit
Kaufen Sie oft regionale Produkte?,Ja,Produktvorlieben
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Produktvorlieben
Kaufen Sie oft regionale Produkte?,Gelegentlich,Online-Verhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Produktvorlieben
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Standortpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Produktvorlieben
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Produktvorlieben
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Ja,Nachhaltigkeit
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Standortpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Marktpräferenzen
Wie oft kaufen Sie Bioprodukte?,Wöchentlich,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Ja,Standortpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Ja,Online-Verhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Produktvorlieben
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Nachhaltigkeit
Wie oft nutzen Sie Online-Marktplätze?,Selten,Nachhaltigkeit
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Konsumverhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Marktpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Marktpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Nachhaltigkeit
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Online-Verhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Standortpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Produktvorlieben
Kaufen Sie oft regionale Produkte?,Ja,Konsumverhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Marktpräferenzen
Wie oft kaufen Sie Bioprodukte?,Selten,Konsumverhalten
Wie oft nutzen Sie Online-Marktplätze?,Nie,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Ja,Standortpräferenzen
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Nachhaltigkeit
Wie oft kaufen Sie Bioprodukte?,Nie,Marktpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Produktvorlieben
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Nachhaltigkeit
Kaufen Sie oft regionale Produkte?,Gelegentlich,Standortpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Konsumverhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Konsumverhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Produktvorlieben
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Online-Verhalten
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Nachhaltigkeit
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Ja,Online-Verhalten
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Konsumverhalten
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Marktpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Online-Verhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Online-Verhalten
Wie oft nutzen Sie Online-Marktplätze?,Nie,Nachhaltigkeit
Kaufen Sie oft regionale Produkte?,Nein,Online-Verhalten
Wie oft kaufen Sie Bioprodukte?,Selten,Online-Verhalten
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Nachhaltigkeit
Wie wichtig ist Ihnen eine breite Produktpalette?,Sehr wichtig,Marktpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Marktpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Standortpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Online-Verhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Nachhaltigkeit
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Produktvorlieben
Wie oft kaufen Sie Bioprodukte?,Täglich,Nachhaltigkeit
Kaufen Sie oft regionale Produkte?,Gelegentlich,Marktpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Marktpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Online-Verhalten
Kaufen Sie oft regionale Produkte?,Ja,Standortpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Online-Verhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Nachhaltigkeit
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Nachhaltigkeit
Wie wichtig ist Ihnen eine breite Produktpalette?,Sehr wichtig,Marktpräferenzen
Kaufen Sie oft regionale Produkte?,Ja,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Marktpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Ja,Standortpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Produktvorlieben
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Gelegentlich,Konsumverhalten
Wie oft nutzen Sie Online-Marktplätze?,Nie,Standortpräferenzen
Wie oft kaufen Sie Bioprodukte?,Täglich,Online-Verhalten
Wie oft besuchen Sie Wochenmärkte?,Selten,Standortpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Produktvorlieben
Kaufen Sie oft regionale Produkte?,Gelegentlich,Produktvorlieben
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Online-Verhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Standortpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Selten,Nachhaltigkeit
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Marktpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Standortpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Nachhaltigkeit
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Produktvorlieben
Wie oft nutzen Sie Online-Marktplätze?,Nie,Standortpräferenzen
Wie oft nutzen Sie Online-Marktplätze?,Nie,Konsumverhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Ja,Online-Verhalten
Kaufen Sie oft regionale Produkte?,Gelegentlich,Konsumverhalten
Wie oft nutzen Sie Online-Marktplätze?,Nie,Nachhaltigkeit
Wie oft besuchen Sie Wochenmärkte?,Selten,Nachhaltigkeit
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Ja,Standortpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Produktvorlieben
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Marktpräferenzen
Wie oft kaufen Sie Bioprodukte?,Nie,Marktpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Konsumverhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Produktvorlieben
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Konsumverhalten
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Marktpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Nachhaltigkeit
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Online-Verhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Standortpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Konsumverhalten
Kaufen Sie oft regionale Produkte?,Nein,Produktvorlieben
Wie oft kaufen Sie Bioprodukte?,Nie,Konsumverhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Online-Verhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Standortpräferenzen
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Online-Verhalten
Kaufen Sie oft regionale Produkte?,Nein,Produktvorlieben
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Online-Verhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Konsumverhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Ja,Produktvorlieben
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Online-Verhalten
Wie oft besuchen Sie Wochenmärkte?,Selten,Online-Verhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Sehr wichtig,Standortpräferenzen
