Frage,Antwort,Kategorie
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Standortpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Online-Verhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Nachhaltigkeit
Kaufen Sie oft regionale Produkte?,Gelegentlich,Nachhaltigkeit
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Online-Verhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Konsumverhalten
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Online-Verhalten
Wie oft besuchen Sie Wochenmärkte?,Nie,Konsumverhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Nachhaltigkeit
Wie oft kaufen Sie Bioprodukte?,Nie,Standortpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Online-Verhalten
Wie oft kaufen Sie Bioprodukte?,Nie,Marktpräferenzen
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Online-Verhalten
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Nachhaltigkeit
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Produktvorlieben
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Produktvorlieben
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Nachhaltigkeit
Wie oft kaufen Sie Bioprodukte?,Täglich,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Ja,Marktpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Nachhaltigkeit
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Online-Verhalten
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Online-Verhalten
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Produktvorlieben
Kaufen Sie oft regionale Produkte?,Nein,Marktpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Nachhaltigkeit
Wie oft nutzen Sie Online-Marktplätze?,Nie,Standortpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Ja,Online-Verhalten
Wie oft nutzen Sie Online-Marktplätze?,Selten,Produktvorlieben
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Online-Verhalten
Kaufen Sie oft regionale Produkte?,Gelegentlich,Nachhaltigkeit
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Produktvorlieben
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Standortpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Online-Verhalten
Wie oft kaufen Sie Bioprodukte?,Nie,Marktpräferenzen
Kaufen Sie oft regionale Produkte?,Nein,Nachhaltigkeit
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Produktvorlieben
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Online-Verhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Produktvorlieben
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Standortpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Sehr wichtig,Online-Verhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Marktpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Konsumverhalten
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Online-Verhalten
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Online-Verhalten
Wie oft kaufen Sie Bioprodukte?,Nie,Produktvorlieben
Wie oft kaufen Sie Bioprodukte?,Wöchentlich,Standortpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Produktvorlieben
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Online-Verhalten
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Marktpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Standortpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Marktpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Konsumverhalten
Kaufen Sie oft regionale Produkte?,Ja,Online-Verhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Nachhaltigkeit
Wie oft kaufen Sie Bioprodukte?,Nie,Produktvorlieben
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Online-Verhalten
Kaufen Sie oft regionale Produkte?,Gelegentlich,Marktpräferenzen
Kaufen Sie oft regionale Produkte?,Ja,Konsumverhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Online-Verhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Marktpräferenzen
Kaufen Sie oft regionale Produkte?,Gelegentlich,Nachhaltigkeit
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Nachhaltigkeit
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Standortpräferenzen
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Produktvorlieben
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Konsumverhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Sehr wichtig,Nachhaltigkeit
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Nachhaltigkeit
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Standortpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Standortpräferenzen
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Nachhaltigkeit
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Produktvorlieben
Kaufen Sie oft regionale Produkte?,Gelegentlich,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Konsumverhalten
Wie oft nutzen Sie Online-Marktplätze?,Nie,Standortpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Ja,Standortpräferenzen
Wie oft kaufen Sie Bioprodukte?,Selten,Produktvorlieben
Wie oft kaufen Sie Bioprodukte?,Täglich,Marktpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Online-Verhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Produktvorlieben
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Marktpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Ja,Marktpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Konsumverhalten
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Produktvorlieben
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Ja,Nachhaltigkeit
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Online-Verhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Nachhaltigkeit
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Nachhaltigkeit
Wie oft kaufen Sie Bioprodukte?,Wöchentlich,Online-Verhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Ja,Produktvorlieben
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Konsumverhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Nachhaltigkeit
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Marktpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Marktpräferenzen
Wie oft kaufen Sie Bioprodukte?,Nie,Online-Verhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Produktvorlieben
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Konsumverhalten
Kaufen Sie oft regionale Produkte?,Gelegentlich,Marktpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Konsumverhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Nachhaltigkeit
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Nachhaltigkeit
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Marktpräferenzen
Wie oft nutzen Sie Online-Marktplätze?,Nie,Marktpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Marktpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Produktvorlieben
Wie oft nutzen Sie Online-Marktplätze?,Selten,Standortpräferenzen
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Nachhaltigkeit
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Standortpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Nie,Online-Verhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Konsumverhalten
Wie oft nutzen Sie Online-Marktplätze?,Nie,Standortpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Produktvorlieben
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Konsumverhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Gelegentlich,Konsumverhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Online-Verhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Marktpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Gelegentlich,Nachhaltigkeit
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Konsumverhalten
Wie oft nutzen Sie Online-Marktplätze?,Selten,Online-Verhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Nachhaltigkeit
Wie wichtig ist Ihnen eine breite Produktpalette?,Sehr wichtig,Nachhaltigkeit
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Nachhaltigkeit
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Standortpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Ja,Marktpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Standortpräferenzen
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Konsumverhalten
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Online-Verhalten
Wie oft kaufen Sie Bioprodukte?,Selten,Produktvorlieben
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Produktvorlieben
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Konsumverhalten
Wie oft besuchen Sie Wochenmärkte?,Nie,Produktvorlieben
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Marktpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Standortpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Nachhaltigkeit
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Standortpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Marktpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Konsumverhalten
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Online-Verhalten
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Produktvorlieben
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Online-Verhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Standortpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Konsumverhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Standortpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Ja,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Gelegentlich,Produktvorlieben
Kaufen Sie oft regionale Produkte?,Ja,Marktpräferenzen
Kaufen Sie oft regionale Produkte?,Nein,Konsumverhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Marktpräferenzen
Kaufen Sie oft regionale Produkte?,Ja,Standortpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Online-Verhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Marktpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Produktvorlieben
Wie oft kaufen Sie Bioprodukte?,Nie,Online-Verhalten
Kaufen Sie oft regionale Produkte?,Ja,Produktvorlieben
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Marktpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Nachhaltigkeit
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Standortpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Standortpräferenzen
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Online-Verhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Standortpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Selten,Standortpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Online-Verhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Konsumverhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Online-Verhalten
Kaufen Sie oft regionale Produkte?,Nein,Online-Verhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Standortpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Marktpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Produktvorlieben
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Produktvorlieben
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Marktpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Produktvorlieben
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Nachhaltigkeit
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Nachhaltigkeit
Kaufen Sie oft regionale Produkte?,Ja,Online-Verhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Marktpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Nachhaltigkeit
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Online-Verhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Ja,Marktpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Nachhaltigkeit
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Produktvorlieben
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Nachhaltigkeit
Wie oft besuchen Sie Wochenmärkte?,Nie,Standortpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Online-Verhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Gelegentlich,Marktpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Nachhaltigkeit
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Konsumverhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Standortpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Online-Verhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Konsumverhalten
Wie oft besuchen Sie Wochenmärkte?,Nie,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Produktvorlieben
Wie oft kaufen Sie Bioprodukte?,Wöchentlich,Online-Verhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Produktvorlieben
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Online-Verhalten
Wie oft kaufen Sie Bioprodukte?,Selten,Online-Verhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Standortpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Online-Verhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Produktvorlieben
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Nachhaltigkeit
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Nachhaltigkeit
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Marktpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Standortpräferenzen
Wie oft kaufen Sie Bioprodukte?,Selten,Konsumverhalten
Kaufen Sie oft regionale Produkte?,Gelegentlich,Online-Verhalten
Kaufen Sie oft regionale Produkte?,Gelegentlich,Marktpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Ja,Online-Verhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Online-Verhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Online-Verhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Produktvorlieben
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Marktpräferenzen
Kaufen Sie oft regionale Produkte?,Ja,Standortpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Produktvorlieben
Wie oft kaufen Sie Bioprodukte?,Täglich,Nachhaltigkeit
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Standortpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Nachhaltigkeit
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Konsumverhalten
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Standortpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Konsumverhalten
Wie oft nutzen Sie Online-Marktplätze?,Nie,Standortpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Marktpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Ja,Produktvorlieben
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Produktvorlieben
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Nachhaltigkeit
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Online-Verhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Ja,Standortpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Selten,Konsumverhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Ja,Marktpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Produktvorlieben
Wie oft nutzen Sie Online-Marktplätze?,Selten,Online-Verhalten
Wie oft nutzen Sie Online-Marktplätze?,Nie,Online-Verhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Konsumverhalten
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Gelegentlich,Konsumverhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Sehr wichtig,Produktvorlieben
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Online-Verhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Standortpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Produktvorlieben
Wie oft besuchen Sie Wochenmärkte?,Selten,Online-Verhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Nachhaltigkeit
Kaufen Sie oft regionale Produkte?,Ja,Marktpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Gelegentlich,Nachhaltigkeit
Wie oft nutzen Sie Online-Marktplätze?,Selten,Online-Verhalten
Kaufen Sie oft regionale Produkte?,Gelegentlich,Nachhaltigkeit
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Marktpräferenzen
